nome,instagram,tiktok,conteúdo,CEP,qual a sua principal dor como criador?,você pagaria por um serviço que RESOLVESSE seus problemas como criador?,qual valor mensal parece justo para acesso completo?,o que você gostaria que este serviço oferecesse?,email,telefone
Ana Sophia Araújo,@user1,@user1,Gaming,33218-196,Falta de clareza na carreira,Sim,69,Algo para organizar a rotina,carvalholeandro@santos.net,5584963794
Dr. Davi Lucas da Rosa,@user2,@user2,Youtube,11615-594,Dificuldade de monetizar,Sim,69,Facilidade para comunicação,hteixeira@cardoso.org,5561993103
João Miguel Freitas,@user3,@user3,Gaming,52553-419,Dificuldade de produzir conteúdo regularmente,Sim,59,Ferramentas para monetização,igorrezende@fogaca.net,5561903056
Raquel Lopes,@user4,@user4,Vendas,76724238,Falta de clareza na carreira,Sim,29,Conselhos para a minha área de atuação,xnunes@hotmail.com,5531987101
Ana Clara Nogueira,@user5,@user5,Moda,97848-018,Falta de visibilidade,Sim,59,Conselhos para a minha área de atuação,enzo-gabriel46@hotmail.com,5581904828
Catarina da Costa,@user6,@user6,Gaming,28809-570,Dificuldade de produzir conteúdo regularmente,Não,29,Ferramentas para monetização,paulo30@cardoso.br,5521982278
Lara da Rosa,@user7,@user7,Moda,46578713,Falta de estrutura e organização,Sim,79,Conselhos para a minha área de atuação,mendesaugusto@das.com,5541910518
Marcelo Costela,@user8,@user8,Gaming,37631-165,Pouco engajamento,Não,39,Conselhos para a minha área de atuação,urezende@gmail.com,5521906513
Beatriz Pereira,@user9,@user9,Youtube,47317810,Falta de estrutura e organização,Sim,19,Ferramentas para monetização,duarteisaac@rodrigues.br,5541960260
Kevin Rodrigues,@user10,@user10,Vendas,34309805,Falta de estrutura e organização,Não,59,Algo para organizar a rotina,rochaclara@caldeira.com,5521991361
Amanda Cardoso,@user11,@user11,Vendas,99854-353,Dificuldade de produzir conteúdo regularmente,Não,59,Facilidade para comunicação,qcostela@ig.com.br,5551975107
Luiz Otávio da Rosa,@user12,@user12,Educação,25135-427,Falta de clareza na carreira,Não,79,Templates e ideias de conteúdo,vieiranoah@ig.com.br,5521924118
Cecília Mendes,@user13,@user13,Moda,48740164,Falta de estrutura e organização,Sim,69,Facilidade para comunicação,melosophia@ferreira.br,5584968011
Sr. Leandro Costela,@user14,@user14,Vendas,45053315,Dificuldade de produzir conteúdo regularmente,Sim,79,Algo para organizar a rotina,lucasda-cruz@hotmail.com,5571902563
Alícia Ribeiro,@user15,@user15,Vendas,37543303,Dificuldade de monetizar,Sim,49,Algo para organizar a rotina,matheus14@yahoo.com.br,5584968501
Arthur Cavalcanti,@user16,@user16,Educação,55698-169,Dificuldade de produzir conteúdo regularmente,Não,29,Algo para organizar a rotina,bryan60@moreira.br,5561914846
Ana da Mota,@user17,@user17,Conselhos,62994-680,Dificuldade de monetizar,Não,69,Templates e ideias de conteúdo,kaique69@bol.com.br,5561977738
Luiz Gustavo Melo,@user18,@user18,Gaming,34332003,Falta de clareza na carreira,Sim,59,Templates e ideias de conteúdo,ramosamanda@ig.com.br,5541967632
Davi Silveira,@user19,@user19,Youtube,08317-278,Dificuldade de monetizar,Não,49,Algo para organizar a rotina,bsantos@bol.com.br,5581927743
Eduarda Freitas,@user20,@user20,Gaming,14345-581,Dificuldade de produzir conteúdo regularmente,Sim,69,Algo para organizar a rotina,lucas-gabrielnogueira@da.br,5561987603
Srta. Sophie Nascimento,@user21,@user21,Vendas,05466-889,Dificuldade de monetizar,Sim,79,Algo para organizar a rotina,rdas-neves@rodrigues.com,5571956272
Maria Sophia Araújo,@user22,@user22,Educação,62720465,Falta de estrutura e organização,Sim,29,Suporte de especialistas,vmartins@freitas.br,5551917080
Amanda Araújo,@user23,@user23,Gaming,30923271,Falta de estrutura e organização,Sim,69,Ferramentas para monetização,xfernandes@da.com,5531941904
Srta. Ana Julia Farias,@user24,@user24,Educação,49190586,Dificuldade de produzir conteúdo regularmente,Não,29,Algo para organizar a rotina,santoslivia@yahoo.com.br,5511967165
Thomas Silveira,@user25,@user25,Youtube,98776-945,Dificuldade de monetizar,Não,69,Suporte de especialistas,freitasana-sophia@rezende.com,5581952735
Pietra Freitas,@user26,@user26,Educação,83136783,Falta de visibilidade,Não,39,Conselhos para a minha área de atuação,yporto@gmail.com,5521943634
Marcela Monteiro,@user27,@user27,Youtube,85574-443,Falta de visibilidade,Não,19,Facilidade para comunicação,pedro-lucascosta@da.br,5551998941
Sr. Heitor Alves,@user28,@user28,Vendas,40084271,Dificuldade de monetizar,Sim,79,Templates e ideias de conteúdo,brenda77@da.com,5551971167
Davi Lucas Jesus,@user29,@user29,Educação,31869993,Falta de visibilidade,Sim,49,Ferramentas para monetização,tpires@bol.com.br,5571949909
Rafael Cardoso,@user30,@user30,Moda,32812067,Pouco engajamento,Não,59,Facilidade para comunicação,bernardo34@ig.com.br,5551971349
Clarice da Costa,@user31,@user31,Gaming,21024-994,Dificuldade de produzir conteúdo regularmente,Sim,69,Suporte de especialistas,rezendemaria-sophia@yahoo.com.br,5571948877
Sarah Martins,@user32,@user32,Conselhos,01399-049,Dificuldade de produzir conteúdo regularmente,Não,19,Algo para organizar a rotina,brendasilveira@freitas.com,5571971756
Isaac Oliveira,@user33,@user33,Educação,46807-154,Dificuldade de monetizar,Não,19,Templates e ideias de conteúdo,nuneseduarda@gmail.com,5584976038
Laura Barros,@user34,@user34,Gaming,48247710,Falta de estrutura e organização,Sim,59,Facilidade para comunicação,pedro-henriquevieira@vieira.com,5541917127
Luana Ribeiro,@user35,@user35,Gaming,78263982,Falta de estrutura e organização,Sim,29,Algo para organizar a rotina,sophia65@almeida.org,5551999727
Dr. Lorenzo Martins,@user36,@user36,Youtube,39636057,Falta de visibilidade,Sim,59,Algo para organizar a rotina,fda-costa@gmail.com,5531989517
Thiago da Conceição,@user37,@user37,Educação,21745-961,Falta de clareza na carreira,Sim,39,Algo para organizar a rotina,olopes@ig.com.br,5581980913
Ana Luiza Castro,@user38,@user38,Youtube,24005-045,Falta de clareza na carreira,Sim,59,Facilidade para comunicação,pda-conceicao@bol.com.br,5571992221
Eduarda Sales,@user39,@user39,Vendas,37474074,Dificuldade de produzir conteúdo regularmente,Não,79,Facilidade para comunicação,piresryan@pereira.org,5581943671
Dr. Samuel Gonçalves,@user40,@user40,Moda,64090974,Dificuldade de monetizar,Sim,69,Ferramentas para monetização,leonardo39@cunha.com,5511947095
Dr. Davi da Paz,@user41,@user41,Moda,85884247,Dificuldade de monetizar,Não,59,Suporte de especialistas,enzo71@hotmail.com,5541968516
Lorenzo Moura,@user42,@user42,Educação,96513-709,Dificuldade de monetizar,Sim,69,Algo para organizar a rotina,liviacampos@ig.com.br,5581946120
Caio Duarte,@user43,@user43,Educação,67586926,Dificuldade de produzir conteúdo regularmente,Não,49,Suporte de especialistas,roliveira@moura.br,5581935158
Diogo Costa,@user44,@user44,Educação,13900-532,Falta de clareza na carreira,Sim,29,Facilidade para comunicação,vieirakaique@dias.com,5551922842
João Gabriel Duarte,@user45,@user45,Conselhos,02402-681,Falta de clareza na carreira,Sim,59,Conselhos para a minha área de atuação,xporto@silva.com,5581983908
Lucca Nunes,@user46,@user46,Vendas,17711-592,Falta de clareza na carreira,Sim,29,Facilidade para comunicação,marcos-viniciusvieira@nascimento.org,5581989611
Daniela Oliveira,@user47,@user47,Vendas,76615-654,Falta de estrutura e organização,Sim,59,Conselhos para a minha área de atuação,maria-luizaribeiro@gmail.com,5521911615
Maria Eduarda Melo,@user48,@user48,Conselhos,65604945,Dificuldade de produzir conteúdo regularmente,Não,29,Suporte de especialistas,henriquerocha@cavalcanti.br,5521949368
Otávio Fogaça,@user49,@user49,Youtube,24455022,Dificuldade de produzir conteúdo regularmente,Não,29,Ferramentas para monetização,da-conceicaoolivia@ig.com.br,5511918366
Dr. Thiago Martins,@user50,@user50,Educação,02290147,Dificuldade de monetizar,Sim,19,Templates e ideias de conteúdo,apires@yahoo.com.br,5541981561
Natália Lima,@user51,@user51,Educação,36900343,Falta de estrutura e organização,Não,49,Ferramentas para monetização,nathan51@sales.br,5531926838
Sarah Barbosa,@user52,@user52,Gaming,07159-696,Falta de clareza na carreira,Sim,19,Ferramentas para monetização,enzo60@yahoo.com.br,5531997516
